Case No.,NAME OF OWNER,Tenure,R.S.NO.,ORIGINAL PLOT,Area in (Sq.Yds.),Area in (Sq.m),Perimeter (yd),FINAL PLOT,Area in (Sq.Yds.),Area in (Sq.m),Perimeter (yd),Type,Layer,REMARKS
1,Plot 1,DXF,R.S.1,1,552647.63,462083.83,4621.67,1,5520.85,4616.13,347.14,LWPOLYLINE,0,Original plot 1
2,Plot 2,DXF,R.S.2,2,110338.55,92257.09,1693.46,2,5520.86,4616.14,347.24,LWPOLYLINE,0,Original plot 2
3,Plot 2/A,DXF,R.S.3,2/A,1220604.35,1020580.74,4827.20,NIL,3701.72,3095.11,511.18,LWPOLYLINE,0,Original plot 2/A
4,Plot 3,DXF,R.S.4,3,500293.87,418309.41,4246.65,3,435.97,364.52,320.59,LWPOLYLINE,0,Original plot 3
5,Plot 4,DXF,R.S.5,4,2334.22,1951.71,330.63,4,2379.38,1989.46,551.80,LWPOLYLINE,0,Original plot 4
6,Plot 5,DXF,R.S.6,5,5566.26,4654.10,349.96,NIL,5036.71,4211.33,795.75,LWPOLYLINE,0,Original plot 5
7,Plot 5/A,DXF,R.S.7,5/A,5371.39,4491.17,412.37,5,17683.85,14785.95,2025.95,LWPOLYLINE,0,Original plot 5/A
8,Plot 6,DXF,R.S.8,6,30561.36,25553.19,705.36,31,76853.35,64259.19,4364.11,LWPOLYLINE,0,Original plot 6
9,Plot 35,DXF,R.S.9,35,1280.87,1070.97,320.30,34,6574.95,5497.50,452.54,LWPOLYLINE,0,Original plot 35
10,Plot 24,DXF,R.S.10,24,6052.30,5060.49,299.94,6,6632.75,5545.82,5212.58,LWPOLYLINE,0,Original plot 24
11,Plot 7,DXF,R.S.11,7,5611.47,4691.90,353.12,7,21930.95,18337.06,1134.60,LWPOLYLINE,0,Original plot 7
12,Plot 8,DXF,R.S.12,8,5441.75,4549.99,414.35,8,7752.62,6482.18,1781.70,LWPOLYLINE,0,Original plot 8
13,Plot 9,DXF,R.S.13,9,49285.34,41208.82,931.47,8/A,21931.77,18337.75,1288.42,LWPOLYLINE,0,Original plot 9
14,Plot 10,DXF,R.S.14,10,478563.20,400139.80,4800.55,9,1781.43,1489.50,853.50,LWPOLYLINE,0,Original plot 10
15,Plot 11,DXF,R.S.15,11,5520.86,4616.14,347.14,10,102788.09,85943.94,4043.51,LWPOLYLINE,0,Original plot 11
16,Plot 11/A,DXF,R.S.16,11/A,1288.60,1077.44,374.16,11,5783.14,4835.44,817.50,LWPOLYLINE,0,Original plot 11/A
17,Plot 12,DXF,R.S.17,12,5520.90,4616.17,347.14,12,35409.00,29606.43,1176.06,LWPOLYLINE,0,Original plot 12
18,Plot 13,DXF,R.S.18,13,3564.78,2980.61,303.81,12/A,2892.52,2418.52,421.47,LWPOLYLINE,0,Original plot 13
19,Plot 14,DXF,R.S.19,14,5520.80,4616.09,347.14,NIL,8828.11,7381.42,535.25,LWPOLYLINE,0,Original plot 14
20,Plot 15,DXF,R.S.20,15,1840.29,1538.72,386.65,14,2592.21,2167.41,3044.97,LWPOLYLINE,0,Original plot 15
21,Plot 15/A,DXF,R.S.21,15/A,769042.53,643017.53,7518.37,15,1878.78,1570.90,341.50,LWPOLYLINE,0,Original plot 15/A
22,Plot 16,DXF,R.S.22,16,38144.18,31893.40,899.08,15/A,1435.19,1200.00,259.80,LWPOLYLINE,0,Original plot 16
23,Plot 16/A,DXF,R.S.23,16/A,5598.01,4680.65,349.67,16,2285.94,1911.34,2236.55,LWPOLYLINE,0,Original plot 16/A
24,Plot 17,DXF,R.S.24,17,5585.48,4670.17,349.43,17,3549.37,2967.73,380.79,LWPOLYLINE,0,Original plot 17
25,Plot 17/A,DXF,R.S.25,17/A,4181.08,3495.92,317.34,18,580.66,485.51,247.11,LWPOLYLINE,0,Original plot 17/A
26,Plot 18,DXF,R.S.26,18,5520.88,4616.16,347.14,19,4041.60,3379.29,4841.68,LWPOLYLINE,0,Original plot 18
27,Plot 19,DXF,R.S.27,19,1334.91,1116.15,246.91,19/A,7616.70,6368.53,540.46,LWPOLYLINE,0,Original plot 19
28,Plot 20,DXF,R.S.28,20,4213.04,3522.64,316.48,19/B,918.26,767.79,3459.30,LWPOLYLINE,0,Original plot 20
29,Plot 21,DXF,R.S.29,21,882864.25,738186.98,5041.04,20,2166028.17,1811075.49,27517.05,LWPOLYLINE,0,Original plot 21
30,Plot 21/A,DXF,R.S.30,21/A,36840.15,30803.06,943.12,21,2240.58,1873.41,329.18,LWPOLYLINE,0,Original plot 21/A
31,Plot 21/B,DXF,R.S.31,21/B,917246.43,766934.86,5928.54,22,5551.68,4641.91,350.45,LWPOLYLINE,0,Original plot 21/B
32,Plot 22,DXF,R.S.32,22,59963.86,50137.43,3366.33,22/A,1288.56,1077.40,375.67,LWPOLYLINE,0,Original plot 22
33,Plot 23,DXF,R.S.33,23,5633.67,4710.46,353.29,23,5551.73,4641.96,350.45,LWPOLYLINE,0,Original plot 23
34,Plot 24,DXF,R.S.34,24,1327.15,1109.67,320.30,24,1296.29,1083.86,317.70,LWPOLYLINE,0,Original plot 24
35,Plot 25,DXF,R.S.35,25,4181.08,3495.92,317.34,NIL,5235.21,4377.31,7038.07,LWPOLYLINE,0,Original plot 25
36,Plot 26,DXF,R.S.36,26,5486.12,4587.09,347.32,25,1257.70,1051.59,364.97,LWPOLYLINE,0,Original plot 26
37,Plot 27,DXF,R.S.37,27,5551.68,4641.91,350.44,32,5258.50,4396.78,408.25,LWPOLYLINE,0,Original plot 27
38,Plot 28,DXF,R.S.38,28,5447.58,4554.87,346.55,25/A,4131.91,3454.80,314.68,LWPOLYLINE,0,Original plot 28
39,Plot 28/A,DXF,R.S.39,28/A,1296.30,1083.87,317.70,26,901.73,753.96,245.75,LWPOLYLINE,0,Original plot 28/A
40,Plot 28/B,DXF,R.S.40,28/B,5600.83,4683.01,349.91,27,1788.20,1495.16,294.13,LWPOLYLINE,0,Original plot 28/B
41,Plot 29,DXF,R.S.41,29,1258.69,1052.42,363.93,27/A,7520.33,6287.95,520.61,LWPOLYLINE,0,Original plot 29
42,Plot 29/A,DXF,R.S.42,29/A,3970.22,3319.61,3842.71,28,6214.08,5195.76,4699.58,LWPOLYLINE,0,Original plot 29/A
43,Plot 30,DXF,R.S.43,30,5526.69,4621.01,349.32,29,8720.00,7291.03,868.88,LWPOLYLINE,0,Original plot 30
44,Plot 31,DXF,R.S.44,31,6052.36,5060.55,299.94,29/A,26788.73,22398.79,7269.27,LWPOLYLINE,0,Original plot 31
45,Plot 31/A,DXF,R.S.45,31/A,5486.15,4587.12,347.33,30,2024.11,1692.41,3888.31,LWPOLYLINE,0,Original plot 31/A
46,Plot 32,DXF,R.S.46,32,1265.48,1058.10,245.40,30/A,1973.86,1650.40,3970.76,LWPOLYLINE,0,Original plot 32
47,Plot 33,DXF,R.S.47,33,359179.62,300319.92,4403.09,NIL,5447.62,4554.91,346.55,LWPOLYLINE,0,Original plot 33
48,Plot 33/A,DXF,R.S.48,33/A,104043.33,86993.48,2482.02,NIL,1265.48,1058.10,245.40,LWPOLYLINE,0,Original plot 33/A
49,Plot 34,DXF,R.S.49,34,13922.75,11641.19,10211.70,NIL,5576.86,4662.96,349.67,LWPOLYLINE,0,Original plot 34
50,Plot 34/A,DXF,R.S.50,34/A,227457.84,190183.73,5552.52,36,6096.67,5097.59,300.51,LWPOLYLINE,0,Original plot 34/A
51,Plot 36,DXF,R.S.51,36,269729.92,225528.57,2174.86,37,4181.12,3495.95,317.34,LWPOLYLINE,0,Original plot 36
52,Plot 37,DXF,R.S.52,37,2739054.84,2290198.78,8979.44,NIL,5611.42,4691.86,353.12,LWPOLYLINE,0,Original plot 37
53,Plot 38,DXF,R.S.53,38,231303.65,193399.32,3755.28,NIL,6041.59,5051.54,298.27,LWPOLYLINE,0,Original plot 38
54,Plot 39,DXF,R.S.54,39,1058500.93,885041.62,4584.17,NIL,1242.36,1038.77,367.22,LWPOLYLINE,0,Original plot 39
55,Plot 40,DXF,R.S.55,40,30249.78,25292.67,730.27,NIL,5292.18,4424.94,410.68,LWPOLYLINE,0,Original plot 40
56,Plot 41,DXF,R.S.56,41,4212.99,3522.60,2983.45,13,1273.14,1064.50,361.67,LWPOLYLINE,0,Original plot 41
